model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std
Gate piecewise low=0.6 mid=0.8 high=0.9 temp=1,0.4006142020059901,0.18353867940048788,0.6200979864510068,0.2934396576083702,0.5264000000000001,0.2853271609662262,0.2742560437851824,0.18380934646287977
Gate piecewise low=0.6 mid=0.8 high=1 temp=1,0.38805092874404756,0.17960357723744053,0.616027130900774,0.2925612193666438,0.5179555555555556,0.2837339210280422,0.270370284557087,0.1826830585824475
Gate piecewise low=0.6 mid=0.9 high=0.9 temp=1,0.4011192367699216,0.18371849118582056,0.6205665011040161,0.2933088717540631,0.5265777777777778,0.2852066260834151,0.27440381043461387,0.1839494296192727
Gate piecewise low=0.6 mid=0.9 high=1 temp=1,0.3901641565171013,0.18029623625026686,0.616384113722374,0.2920857386630973,0.5194666666666667,0.28440713299271686,0.2709765967601061,0.18235982343400461
Gate piecewise low=0.7 mid=0.8 high=0.8 temp=1,0.41149490118352605,0.18728425466471393,0.6253564486053647,0.2922814339329147,0.5289777777777778,0.285990951445942,0.2753468891176027,0.1827872265536597
Gate piecewise low=0.7 mid=0.8 high=0.9 temp=1,0.40484928034007406,0.1850127526662148,0.6221536730305464,0.29277682643185376,0.5282666666666668,0.2861451668643107,0.2749216264116097,0.18436765370065272
Gate piecewise low=0.7 mid=0.8 high=1 temp=1,0.3936966309742849,0.1813271327498638,0.6193533413668588,0.2918638885941564,0.5211555555555556,0.28445326625542605,0.27171028507546413,0.18280844295633392
Gate piecewise low=0.7 mid=0.9 high=0.9 temp=1,0.4057269744293644,0.18539609099558854,0.6224700419428066,0.2928360266018961,0.5287999999999999,0.2862992439450701,0.27515895619479874,0.18466282595064304
Gate piecewise low=0.7 mid=0.9 high=1 temp=1,0.39644851342004916,0.1823473493313374,0.6204342254170963,0.2915224126267038,0.5226666666666666,0.2853782328697758,0.27229151140686253,0.18270485658196106
Gate sigmoid low=0 mid=0 high=0.8 temp=0.5,0.32035052650927304,0.1679265272170387,0.5044136316019006,0.29065894300722933,0.4268444444444444,0.2564393327573924,0.22687065872414897,0.16998103551929786
