model,AP_mean,AP_std,nDCG@10_mean,nDCG@10_std,P@15_mean,P@15_std,R@15_mean,R@15_std,matched_AUROC_mean,matched_AUROC_std,matched_AUPR_mean,matched_AUPR_std,pos_gt_ctrl_rate_mean,pos_gt_ctrl_rate_std,external_AUROC,external_AUPR,external_pos_gt_neg_rate
Gate piecewise low=0 mid=0.6 high=1 temp=1,0.19133401191096375,0.13536841350685905,0.33459224301866985,0.27591764285040454,0.28284444444444445,0.21743927384084952,0.15359393459696255,0.15005270906822393,0.6838220632748305,0.11731823011526352,0.7150655365416251,0.10541007673976344,0.7133651271214904,0.12832815398561137,0.5124045988726333,0.5161032643437633,0.518913768461172
Gate piecewise low=0 mid=0.8 high=0.8 temp=1,0.2646850840322262,0.15465105128948659,0.45087607031515464,0.2918296543577319,0.3931555555555556,0.25370238345747204,0.20912759266807174,0.1670308920060932,0.6756910946649918,0.11443167619569784,0.7120449031580878,0.10411472382166392,0.7178410599343259,0.12972103414915315,0.5131767465628589,0.5173972727517009,0.5191771992265224
Gate piecewise low=0 mid=0.8 high=0.9 temp=1,0.22791432983319387,0.14608202027093162,0.3936562227706101,0.28618562972938655,0.3409777777777778,0.237902851809463,0.18305980964352822,0.15969660890456425,0.6775059292954386,0.11493102395046267,0.7121646383109291,0.1038658971336679,0.7164728941729833,0.12948214911444503,0.5126867697154188,0.5166274676781699,0.5191940139562257
Gate piecewise low=0 mid=0.8 high=1 temp=1,0.19117368697308643,0.13515699433991227,0.33497791849412145,0.2766078609859094,0.2843555555555556,0.21893999148947518,0.15456514836633453,0.15095350965953575,0.6779337432423536,0.11501667724142552,0.7111627897604225,0.10395986754029991,0.7134518864303284,0.12837954974479485,0.5119169216828287,0.5156388392544691,0.5186335229661183
Gate piecewise low=0 mid=0.9 high=0.9 temp=1,0.22735024631033812,0.14584288366123382,0.3936562227706101,0.28618562972938655,0.3409777777777778,0.237902851809463,0.18305980964352822,0.15969660890456425,0.6744588825475858,0.11350853012499407,0.7105297219882265,0.10323971050187643,0.7161364434340876,0.12913743443156628,0.512344517420835,0.5163140295533639,0.5192892974245439
Gate piecewise low=0 mid=0.9 high=1 temp=1,0.19073050314348453,0.1349359907726746,0.33497791849412145,0.2766078609859094,0.2843555555555556,0.21893999148947518,0.15456514836633453,0.15095350965953575,0.6748421304842271,0.11385508598144911,0.7093866283898275,0.10339769114181015,0.713100020800513,0.12810589208558887,0.511601983487186,0.5153248380699729,0.5187400162542387
Gate piecewise low=0.1 mid=0.2 high=0.6 temp=1,0.33594442820688386,0.16936855792582342,0.5290384155490878,0.293045446397788,0.4592888888888889,0.26728693624066835,0.24180547162787688,0.17560670446408277,0.6855967771874777,0.1204256164948779,0.7177103534145584,0.10737881348247195,0.7166377162888575,0.13000174249498186,0.5194443935106697,0.5196928499969875,0.5248381582266065
Gate piecewise low=0.1 mid=0.2 high=0.8 temp=1,0.2719557515304186,0.15497195308248984,0.4273021512656787,0.28683966813701695,0.37724444444444444,0.24299250251294957,0.20282880795824743,0.16854856739394786,0.691081630586666,0.12069854811916989,0.7206685333120504,0.10757342643748485,0.717624245912469,0.12822137256253469,0.5195374943422834,0.5190323139637364,0.523879718633523
Gate piecewise low=0.1 mid=0.2 high=0.9 temp=1,0.2368483572148551,0.1463723649938761,0.37142314730017284,0.2777306666950879,0.32862222222222226,0.2325437038444509,0.17566167062783958,0.15850086921867532,0.69178744137781,0.11990085590629304,0.7196188345497144,0.10732505046757593,0.7162003805738321,0.12771834554431785,0.5192599621620753,0.518351173754561,0.5239806070117423
Gate piecewise low=0.1 mid=0.2 high=1 temp=1,0.20228886051308215,0.1365079637992285,0.31614308854257317,0.2669406910091958,0.28168888888888893,0.21718101513328072,0.15052679446787184,0.15002127028635445,0.6906226983078373,0.11859150545438037,0.7170788436338662,0.10718203193854259,0.7131593818493172,0.12651188760669277,0.5187031256021252,0.5175249880305048,0.5234425356612392
Gate piecewise low=0.1 mid=0.4 high=0.6 temp=1,0.3632325248129737,0.17528609292607358,0.5819246814562041,0.29339143917700616,0.49333333333333335,0.2789558167934302,0.2581282663420711,0.18142301879291067,0.68054440389419,0.1185860617921601,0.7147351224521135,0.10620320088762582,0.7185542234134067,0.1309769556140794,0.5171045863079625,0.5196992502277865,0.5239750021018412
Gate piecewise low=0.1 mid=0.4 high=0.8 temp=1,0.31266607570568344,0.16523619273461573,0.515926831679966,0.291346317118212,0.43875555555555557,0.26218461508615487,0.23255010456073041,0.1722874739135353,0.687446145989229,0.12001060058544073,0.7196789496888403,0.10663155358148994,0.7194106865048269,0.12930736772704654,0.5173575151908739,0.5197845859211091,0.5230277723285598
Gate piecewise low=0.1 mid=0.4 high=0.9 temp=1,0.2781478350340006,0.15937577291192667,0.46682962430189423,0.29224143695428845,0.39742222222222223,0.2504395029094147,0.21269962240847878,0.1686514384807295,0.6894529490556807,0.12035023673363596,0.720171797458999,0.10684009675208929,0.7180502959955074,0.12904369617271624,0.5171516167844673,0.519332567140565,0.5230950312473727
Gate piecewise low=0.1 mid=0.4 high=1 temp=1,0.24201368793569572,0.15191336207450898,0.41079749828208906,0.28940568748308393,0.3495111111111111,0.2371746201119723,0.1871753288449379,0.1626306446893646,0.6896120479713627,0.11991253804791671,0.7192500685117742,0.10691157498877706,0.7149812757455916,0.1278579796535581,0.5166747346577292,0.5186141338241147,0.5225177255275621
Gate piecewise low=0.1 mid=0.6 high=0.6 temp=1,0.3659151636562548,0.1756709878740641,0.5861631485028598,0.2929763263498593,0.4981333333333334,0.2797090059732589,0.26050614122405386,0.18185229602613984,0.6749363620328199,0.11582747544293437,0.7112734823296993,0.10483216204501442,0.7190495758393375,0.13123793997087208,0.5159149404509267,0.519437881677842,0.5237956449850069
Gate piecewise low=0.1 mid=0.6 high=0.8 temp=1,0.32270432130608534,0.16764466790189533,0.5309846643372697,0.29169158162366204,0.45475555555555564,0.26782191536799616,0.23997953093669763,0.17464149051859215,0.681601653854268,0.11814468430179108,0.7159334479108834,0.10552377504975571,0.7199355878830669,0.12992814236906675,0.5163395268661087,0.519901284829105,0.5227475268335061
Gate piecewise low=0.1 mid=0.6 high=0.9 temp=1,0.29120167475998665,0.162041947833897,0.49035962684411566,0.29321094054375785,0.41813333333333336,0.25757201656536627,0.22311701588685165,0.17065618530757123,0.6840610277682135,0.1186739791249154,0.7170455570465656,0.10546431097980917,0.7186084816499506,0.12969299293686215,0.5162164004270718,0.5196554101618533,0.522809180842418
