scenario,metric,mean,std
warm,qwk,0.6492084886292024,0.015489448362803368
warm,within_one_accuracy,0.9581884503027582,0.0041319144780765284
warm,exact_accuracy,0.6223478137623133,0.009390647914283493
warm,macro_recall,0.4882274744214894,0.023986356543740033
warm,rmse_unclipped,0.6957463181573867,0.01621196345521692
warm,mae_unclipped,0.498154722964551,0.010906826350682958
warm,spearman_unclipped,0.7120665460848542,0.006135003447320308
warm,recall_class_1,0.34072270513355074,0.08024593225972199
warm,mae_class_1,1.139693207665022,0.12034011984414734
warm,recall_class_2,0.488596001622688,0.09655829071947819
warm,mae_class_2,0.6121056079385623,0.0751103119843194
warm,recall_class_3,0.5858599987726144,0.028685416018084078
warm,mae_class_3,0.47807087043962726,0.022622690958179655
warm,recall_class_4,0.7827629377959505,0.022395196362962614
warm,mae_class_4,0.3711325902638631,0.024325015223024618
warm,recall_class_5,0.24319572878264345,0.058261941797868075
warm,mae_class_5,0.7869250169256417,0.03280773790950969
