scenario,fold,n,qwk,within_one_accuracy,exact_accuracy,macro_recall,rmse_unclipped,mae_unclipped,spearman_unclipped,recall_class_1,mae_class_1,n_class_1,recall_class_2,mae_class_2,n_class_2,recall_class_3,mae_class_3,n_class_3,recall_class_4,mae_class_4,n_class_4,recall_class_5,mae_class_5,n_class_5
warm,0,3708,0.6508220610001381,0.9563106796116505,0.6186623516720604,0.48012353355080384,0.69460120560619,0.5021180062028048,0.712738543256127,0.29838709677419356,1.1585713225806449,124,0.5842956120092379,0.5473072748267898,433,0.5694879832810867,0.48985470741901777,957,0.7879818594104309,0.37372489455782315,1764,0.16046511627906976,0.8213139627906977,430
warm,1,3708,0.6660842799687949,0.9614347357065803,0.6281014023732471,0.4923126617362291,0.6797794622365056,0.4912257303128371,0.7231795630046283,0.2777777777777778,1.1668708333333333,126,0.5633802816901409,0.5565610492957747,426,0.5765673175745119,0.48809174820143886,973,0.7761611639619473,0.36940742137660887,1787,0.2676767676767677,0.7633836944444444,396
warm,2,3708,0.6117946769136617,0.9557713052858684,0.61084142394822,0.43479375046735314,0.7168825717605621,0.5081690304746495,0.705964648547777,0.23134328358208955,1.2949677761194032,134,0.2846153846153846,0.7707726717948717,390,0.5692921236291126,0.4882694307078764,1003,0.8304398148148148,0.32560638599537034,1728,0.2582781456953642,0.7898050044150111,453
warm,3,3708,0.6664615969709342,0.9617044228694714,0.6426645091693636,0.5178011154430634,0.6758424605821499,0.4775981814994606,0.7186851716345128,0.4146341463414634,1.1309816016260164,123,0.46539379474940334,0.6316114964200478,419,0.6351351351351351,0.42703735343035343,962,0.7806094182825485,0.3596603750692521,1805,0.2932330827067669,0.7698776741854637,399
warm,4,3708,0.6479233513380935,0.9557713052858684,0.6202804746494067,0.4812925770268587,0.704218288242037,0.5085799557713053,0.7070709726118289,0.21138211382113822,1.350486406504065,123,0.5509708737864077,0.5803055169902912,412,0.573134328358209,0.4882253054726368,1005,0.7611518915866742,0.39182866629023155,1771,0.30982367758186397,0.7456518261964735,397
warm,5,3708,0.6477073446211411,0.9509169363538296,0.6132686084142395,0.503174091163279,0.719563394971819,0.5126936833872707,0.70941830716377,0.4036697247706422,1.080508247706422,109,0.5986078886310905,0.5264645823665893,431,0.5509396636993076,0.5094150850642928,1011,0.7674150834772596,0.39842075647668396,1737,0.19523809523809524,0.8316929499999999,420
warm,6,3708,0.6410893052743636,0.9660194174757282,0.6143473570658037,0.470909691299747,0.6739623667122006,0.4894301494066883,0.7080989650010557,0.4117647058823529,1.0677916666666667,102,0.4123456790123457,0.6926622790123458,405,0.5901639344262295,0.46403899710703955,1037,0.8021788990825688,0.33959973451834863,1744,0.1380952380952381,0.8378420095238095,420
warm,7,3708,0.6512395922928336,0.9571197411003236,0.6256742179072277,0.4867861110172155,0.7070083541679995,0.5047658988673139,0.7093302717463519,0.34265734265734266,1.1607675454545454,143,0.4211822660098522,0.6477799507389164,406,0.5945121951219512,0.4761869430894309,984,0.7956744450768355,0.3713427638019351,1757,0.2799043062200957,0.7695367129186602,418
warm,8,3708,0.6497436887571331,0.9581984897518878,0.6210895361380798,0.5027182327102449,0.690733698178008,0.492975201995685,0.7069063222191734,0.4117647058823529,1.05804068627451,102,0.514218009478673,0.5943719004739337,422,0.5643863179074446,0.488040032193159,994,0.7713329615170106,0.3817804355828221,1793,0.2518891687657431,0.7545663576826197,397
warm,9,3699,0.6592189891549308,0.9586374695863747,0.6285482562854826,0.5123629798000996,0.6948713791163958,0.49399139172749396,0.719272695663317,0.40384615384615385,0.9279459903846153,104,0.49095022624434387,0.5732193574660632,442,0.6349809885931559,0.4615491017110266,1052,0.7546838407494145,0.39995446896955505,1708,0.27735368956743,0.7855799770992367,393
