scenario,metric,mean,std
cold,qwk,0.377471152452762,0.03877526835663251
cold,within_one_accuracy,0.8411448500893307,0.029516856486429204
cold,exact_accuracy,0.4573420141917822,0.024431239810175337
cold,macro_recall,0.3162971278598066,0.02113813435604984
cold,rmse_unclipped,1.1650093271029587,0.09655784363381412
cold,mae_unclipped,0.8294381827321473,0.07006390067637852
cold,spearman_unclipped,0.46399719965295744,0.03655107084952126
cold,recall_class_1,0.2364984734280567,0.08674529555126986
cold,mae_class_1,1.636391326500324,0.25757966481676753
cold,recall_class_2,0.2582287453957005,0.05068198196897522
cold,mae_class_2,0.9988946372114269,0.13259980784733
cold,recall_class_3,0.32050837277914673,0.07808779143576973
cold,mae_class_3,0.8941937131617893,0.15985550797204073
cold,recall_class_4,0.6754329064488609,0.053336344523458805
cold,mae_class_4,0.6218043210964967,0.09848507438664544
cold,recall_class_5,0.09081714124726839,0.05699255755865584
cold,mae_class_5,1.1794958132803666,0.149553502489517
