Model,n,path,MAP,auc_all,aupr_all,drugAUC,drugAUPR,nDCG,P1,P15,R1,R15,spearman,rMSE,MAE
CAFNet-original-3fold,3,D:\CAFNet-master-master\result_WS\lr0.0004-2\10WS_CAFNet_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal\CAFNet_result.csv,0.2135 +/- 0.0084,0.9098 +/- 0.0048,0.0847 +/- 0.0100,0.9002 +/- 0.0023,0.2135 +/- 0.0084,0.4321 +/- 0.0120,0.2222 +/- 0.0171,0.1148 +/- 0.0022,0.0674 +/- 0.0087,0.4034 +/- 0.0017,0.5091 +/- 0.0294,1.2635 +/- 0.0566,0.9208 +/- 0.0527
WarmPlus-rank_pop-3fold,3,D:\CAFNet-master-master\result_WS\10warmplus_rank_pop_f3_CAFNet_knn=10_wd=0.001_epoch=100_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_cal=rank_pop\CAFNet_result.csv,0.2297 +/- 0.0029,0.8945 +/- 0.0040,0.0673 +/- 0.0016,0.8980 +/- 0.0023,0.1891 +/- 0.0194,0.4766 +/- 0.0151,0.3202 +/- 0.0164,0.1183 +/- 0.0012,0.0842 +/- 0.0047,0.3713 +/- 0.0082,0.5020 +/- 0.0088,1.2959 +/- 0.0525,0.9509 +/- 0.0507
decoupled_pop0.0_fw0.5_f3,3,D:\CAFNet-master-master\result_WS\10decoupled_pop0.0_fw0.5_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.5_rw=0.05_popw=0.0_biasw=1.0\CAFNetDecoupled_result.csv,0.2068 +/- 0.0042,0.8354 +/- 0.0057,0.0576 +/- 0.0016,0.8713 +/- 0.0048,0.2068 +/- 0.0042,0.4591 +/- 0.0158,0.2990 +/- 0.0185,0.1092 +/- 0.0002,0.0750 +/- 0.0058,0.3505 +/- 0.0114,0.6196 +/- 0.0075,0.7652 +/- 0.0157,0.5552 +/- 0.0041
decoupled_pop0.1_fw0.5_f3,3,D:\CAFNet-master-master\result_WS\10decoupled_pop0.1_fw0.5_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.5_rw=0.05_popw=0.1_biasw=1.0\CAFNetDecoupled_result.csv,0.2168 +/- 0.0038,0.8348 +/- 0.0084,0.0565 +/- 0.0029,0.8733 +/- 0.0055,0.2168 +/- 0.0038,0.4715 +/- 0.0131,0.3187 +/- 0.0205,0.1114 +/- 0.0015,0.0824 +/- 0.0062,0.3511 +/- 0.0034,0.6192 +/- 0.0124,0.7667 +/- 0.0199,0.5564 +/- 0.0076
decoupled_pop0.1_fw1.0_f3,3,D:\CAFNet-master-master\result_WS\10decoupled_pop0.1_fw1.0_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=1.0_rw=0.05_popw=0.1_biasw=1.0\CAFNetDecoupled_result.csv,0.2184 +/- 0.0045,0.8240 +/- 0.0118,0.0511 +/- 0.0014,0.8721 +/- 0.0047,0.2184 +/- 0.0045,0.4752 +/- 0.0147,0.3239 +/- 0.0208,0.1109 +/- 0.0010,0.0833 +/- 0.0058,0.3505 +/- 0.0043,0.6266 +/- 0.0104,0.7607 +/- 0.0156,0.5549 +/- 0.0053
decoupled_pop0.3_fw0.5_f3,3,D:\CAFNet-master-master\result_WS\10decoupled_pop0.3_fw0.5_f3_CAFNetDecoupled_knn=10_wd=0.001_epoch=50_lamb=0.03_lr0.0004_dim=200_eps=0.5_DF=False_PCA=False_not-FC=False_cosine_abl=CA_gate_new_loss=focal_mix=0.3_aw=1.0_fw=0.5_rw=0.05_popw=0.3_biasw=1.0\CAFNetDecoupled_result.csv,0.2176 +/- 0.0041,0.8350 +/- 0.0098,0.0535 +/- 0.0016,0.8748 +/- 0.0047,0.2176 +/- 0.0041,0.4729 +/- 0.0162,0.3182 +/- 0.0212,0.1111 +/- 0.0011,0.0817 +/- 0.0073,0.3504 +/- 0.0059,0.6164 +/- 0.0082,0.7714 +/- 0.0189,0.5615 +/- 0.0064
