,mAP,mAP,AUROC,AUROC,AUPR,AUPR,nDCG@10,nDCG@10,P@1,P@1,P@15,P@15,R@15,R@15,Spearman,Spearman,RMSE,RMSE,MAE,MAE,QWK,QWK,Within1,Within1
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
setting,,,,,,,,,,,,,,,,,,,,,,,,
"lambda0=0.03, epsilon=0.50 (reported)",0.4049613348579708,0.02396670249875208,0.8175610655210932,0.023313187090091204,0.29948808058244814,0.032407054669272475,0.6231585196670388,0.040034057456366116,0.7066666666666667,0.0615840287135601,0.5267555555555555,0.04312144460602909,0.27408323625956893,0.021136001292383355,0.46399719965295755,0.03655107084952126,1.1650093271029587,0.0965578436338141,0.8294381827321471,0.07006390067637852,0.377471152452762,0.0387752683566325,0.8411448500893307,0.02951685648642919
"lambda0=0.03, epsilon=0.50 (same-code rerun)",0.40864372750041067,0.02158063507189036,0.810003001699835,0.02093134001187606,0.29097591523457267,0.03250557786932836,0.629118743667686,0.03821822522699543,0.716,0.06972255422674384,0.5257777777777778,0.0418129612816235,0.27201303963446527,0.01832843264439144,0.4686477985959538,0.05057998160829602,1.2077702385528406,0.08674738464379336,0.8607510616599582,0.05231901558042308,0.38405754135295417,0.05001011787442934,0.8324653787460534,0.019515959084447195
"lambda0=0.03, epsilon=0.00",0.40611798459024817,0.02484707450965654,0.8106292023298229,0.030103490514120698,0.2920746642090667,0.03653807333570054,0.6229418846780332,0.04216704814079393,0.7053333333333334,0.07260921956220229,0.5253333333333333,0.04355454773336404,0.2727999225889879,0.019866462344725708,0.46757117374211277,0.05439147981509085,1.2585671655752004,0.12539091026712462,0.8838838739286489,0.09990200411767691,0.38090766917094554,0.055284675393608616,0.8343374083492897,0.03348799286109182
"lambda0=0.03, epsilon=0.25",0.4048854361001684,0.024062455125774734,0.8124643028224755,0.028246307447983118,0.29283190682174837,0.040082019350103644,0.6238310664652195,0.042712248275125465,0.7093333333333334,0.08068839621625039,0.5259555555555555,0.04059161934491555,0.2735084934432383,0.021018974222076162,0.45712878935274165,0.04207670216304311,1.2526916207763596,0.1575348534670145,0.8885634233879849,0.11732514809450818,0.3685734286631746,0.0478391350454632,0.8273609507632109,0.04001766471432256
"lambda0=0.03, epsilon=0.75",0.40855991834630806,0.027548740925834578,0.8113779883418856,0.026768014173674942,0.29356691959819003,0.03813763240270646,0.6241834416310246,0.04021410612625658,0.6973333333333334,0.06533484503164175,0.5306666666666666,0.0413203218601726,0.2765504145174395,0.020100472030726135,0.46953652120846734,0.04549486553922885,1.0921464001652332,0.13193203608557758,0.7906613728600116,0.0920023208778142,0.3893586547354234,0.04893242264312976,0.8517275842209386,0.042154031792683525
"lambda0=0.00, epsilon=0.50",0.4089053458299996,0.02384872694631331,0.8093060366932857,0.025039670692094392,0.29015915599127484,0.03525657793893034,0.6254513167607395,0.03957186937393081,0.7026666666666667,0.06943866642629111,0.5259555555555555,0.04441688034136634,0.27350740999003204,0.01986744564109984,0.4761736326669971,0.05681955748432947,0.8685618749799892,0.06127118119484407,0.6450582057984829,0.042499017440212415,0.4077919184119957,0.06689975731960927,0.9154410202865554,0.019687824356758057
"lambda0=0.01, epsilon=0.50",0.40714477713642844,0.02688725072402073,0.8131233262443356,0.02616433201486094,0.2936267497693395,0.030503387917854084,0.6269470639587948,0.04445601041917009,0.7173333333333333,0.08190328533183604,0.5233777777777778,0.04076158389386201,0.27212274799201436,0.020008012720858583,0.4758647324695854,0.04064654510853907,1.053264544229648,0.11325623761615626,0.7561976364892513,0.07222996997894436,0.40970158353503433,0.03332971878190619,0.8746831968549721,0.030302791522063558
"lambda0=0.10, epsilon=0.50",0.4072667637175643,0.023810885389721304,0.8118306861667121,0.02461616559206341,0.2930364476275893,0.039145504971866155,0.6236689382673394,0.04096937755395303,0.7093333333333334,0.06022181221672648,0.5271111111111111,0.04031154395618809,0.2747780573853261,0.0218268528309087,0.4586316094622048,0.041858700606308,1.3746149595635109,0.10229339304697829,0.9845250991343256,0.07919919989665741,0.3489442744023602,0.03984350651002743,0.7838125621883475,0.031009061371165773
