epoch,train_loss,auc_all,aupr_all,drugAUC,drugAUPR
10,1.2238490879535675,0.8095474925837431,0.22958803651326984,0.8739746037130293,0.35987625913400256
20,1.200998347471742,0.8091987340552789,0.24260637999312012,0.8741468806642296,0.3682722969835516
30,1.1186064937535454,0.830042397179764,0.2649006022627699,0.8812394940146773,0.36079188495064635
40,1.0532906221992828,0.8190241553500313,0.2265403949630359,0.8811505191135929,0.3799945354870503
50,0.9797124301686007,0.7935001612747965,0.20811181095015086,0.8756705802954134,0.3674855045311665
60,0.8902621987987968,0.7997589260951924,0.22402738180367132,0.8779168274043496,0.3735051334260641
70,0.8466598970048568,0.7970917998012729,0.22189756761396517,0.8748107274590157,0.36563482503690087
80,0.8047838824636796,0.8077179026288195,0.2279589077244002,0.8797330707434297,0.369923092314887
90,0.7423651691745309,0.802281130403467,0.23486114409545322,0.8684166394548464,0.35453665439443055
100,0.7183684014222201,0.8055081188795392,0.21791519800545445,0.8679900504802431,0.35714667950378387
10,1.2330754881396013,0.8385622207949261,0.2956662366391257,0.8838284663176934,0.3964296606341684
20,1.1698727344765383,0.8444390540511129,0.2909037713333373,0.8863627393319031,0.39333769556668907
30,1.0873630371163874,0.8362078690466522,0.30949855998728926,0.8867568153613845,0.4066396359143055
40,0.9972735345363617,0.8262971787422018,0.23694052778769692,0.8848728188231678,0.402151464097969
50,0.9437986288000556,0.8341997699697081,0.2724710173839782,0.8864013094485395,0.409882752471353
60,0.8730135314604816,0.8315643488422465,0.2739742030061809,0.8866024697535768,0.39324391252311697
70,0.8047734437619939,0.8327251180166493,0.28817947475430966,0.8810627080546339,0.4012228953151853
80,0.7835124389213675,0.8292542379139141,0.2768174879621685,0.8780682555183159,0.3921255562204978
90,0.736564010819968,0.8205059138152127,0.2548627409485391,0.8710740891956005,0.3832241276365809
100,0.6942959366475835,0.8347066555123759,0.28101639655766075,0.8797792624377441,0.41057261334062817
10,1.2249158340341904,0.8340243123828203,0.3487895043151147,0.8768839655847633,0.43301004573258145
20,1.1527781810830622,0.8416625843183413,0.3661394842005091,0.8751382788037099,0.44441534909646285
30,1.104146900422433,0.8387190500275792,0.3697887713909728,0.8747563310246737,0.43930465006037905
40,0.9935667865416583,0.8349066761783791,0.3604795867534923,0.8737101710873607,0.4379307190894022
50,0.9238024485461852,0.8387896266871231,0.3821313166648883,0.8745616047393372,0.43924795254297844
60,0.851726201527259,0.8430439696397783,0.3601680749445254,0.8721935955669122,0.41855971903319866
70,0.8046535735621172,0.8312863659765444,0.37325137892064564,0.8704866549219656,0.4300518412394498
80,0.7588641284143224,0.8228577889701416,0.3553923439728389,0.8718819846031981,0.43217346030191
90,0.7029367084888851,0.8422745186139892,0.39262118017341363,0.8707060294163323,0.4325140692359391
100,0.688158475300845,0.8395664743933885,0.39215184096745237,0.8644300804541628,0.4266311425752987
10,1.2226493227131225,0.8319991946450472,0.27013563003192614,0.8782306834411243,0.37971590524071597
20,1.1930198161041035,0.8480635281905133,0.276598465188722,0.8809004326336904,0.3878332709849327
30,1.1028887094820248,0.8256201068696337,0.2590136597960239,0.877438578987529,0.3709449758589002
40,1.0418391560806948,0.8456515652794869,0.2517407143206018,0.8772287016410949,0.38876973268669235
50,0.9361297014881583,0.8257820208373848,0.2583328933742032,0.8717153255498133,0.3839639463777893
60,0.8723985605380115,0.828972102315063,0.23902824928174637,0.8733276205845274,0.3870631597750266
70,0.8155943142140613,0.8281794507489343,0.23417097368210987,0.8696397888997327,0.36177763661152584
80,0.7558247499606189,0.834329773662515,0.27379321183760236,0.8720469946630325,0.39000766786407665
90,0.7308437999557046,0.8270899636849391,0.2704343453578317,0.8667602380865568,0.3842118534237346
100,0.697130436406416,0.8287800200630384,0.280422687774977,0.8666020280491862,0.3751181493252867
10,1.2568642540889627,0.8531559876992026,0.29664330219029855,0.8798803860255692,0.3986145449746754
20,1.1918283192550434,0.8503434413188302,0.2980159255188455,0.8823241466051974,0.39398661497715465
30,1.0929505658500336,0.8569237382786385,0.31273726829327486,0.8815953189389372,0.3938863885111585
40,1.0370176846490187,0.8453628972511587,0.2782752320687186,0.8788887573816256,0.39248644305134966
50,0.9534790130222545,0.8483665931712597,0.29633825680746495,0.8816242723371577,0.3918689442749886
60,0.8812078526791405,0.844175938437483,0.266667692082916,0.878663760580182,0.3775861597420193
70,0.8406375821898965,0.8415461038273561,0.26663621089052536,0.8757600883531372,0.3642361122635532
80,0.7861239099327255,0.8325246576044875,0.2544494198691318,0.8755316123169103,0.38057214598609673
90,0.7335310280323029,0.8340342731818248,0.27712987433688097,0.875530304254642,0.3825494805338005
100,0.6953851532410172,0.8181027192070907,0.23452298729332857,0.865699533733482,0.36443723917868925
10,1.22535619402633,0.7880400971172279,0.2789059094894092,0.8538966123587287,0.3909984274438203
20,1.1679599434137344,0.7830567696764595,0.24848537738221455,0.8554544344336537,0.387200526590334
30,1.0806521405191982,0.7706117903585408,0.27986447984777785,0.8518867645134962,0.39546917577195423
40,1.009247114553171,0.7669828259317449,0.25633330230995405,0.852896161795002,0.394029617340437
50,0.9394381379379946,0.7457521913083767,0.24239020546142795,0.853795032673861,0.401374442717737
60,0.8674327415578506,0.7536552369295353,0.2248467049913003,0.8531396972801174,0.3884972072816052
70,0.802776838926708,0.7506675560782778,0.24462249510611853,0.8552803616043146,0.3981102208939993
80,0.7572882718899671,0.7414015119486939,0.23554254531259405,0.8547065643055767,0.40017205108140025
90,0.6993022530394442,0.7393391937676199,0.22511625111296663,0.8501857894581312,0.3857830645133249
100,0.693072160377222,0.7515548206961397,0.26286236339192154,0.8546793501780776,0.3966734602453863
10,1.2793760834371342,0.8188779537247745,0.2738188512199056,0.8767205970134802,0.3969186118810505
20,1.188636790303623,0.8281693675816126,0.31867385603613035,0.8856896222734522,0.41914345322547586
30,1.0918167443836437,0.8229683410762434,0.2997984118888088,0.8842589789094624,0.41171759620604204
40,1.0217119718299192,0.8359597444515927,0.316120085951763,0.8874895237595485,0.4170399080737537
50,0.9466296004898408,0.8371684018784015,0.3213994033408944,0.8884357232192224,0.4242450703010468
60,0.8614390702808604,0.8127013027927141,0.27725700585478535,0.8834987453233839,0.3954998316623565
70,0.7940620192710091,0.8101605401431583,0.275414410443835,0.8850999135763308,0.4061066215365681
80,0.7730673875878838,0.8266906841760255,0.28957258041509093,0.8845439453409873,0.41240310971966837
90,0.7374836013597601,0.8186158713221438,0.31173709045760717,0.8808978872943957,0.41579534959438563
100,0.674871601164341,0.828272832183037,0.3154865421833982,0.8748781917190847,0.39309279048138585
10,1.2447377583559822,0.8267024441158999,0.26653571849186225,0.8776525851741485,0.3748480652948193
20,1.1513713010970283,0.7982830522248288,0.25845259477069515,0.8738152281444135,0.3780898886577599
30,1.0716311940375496,0.8248658854940537,0.2955382417763109,0.8780561045538869,0.38425046092564813
40,0.9695092939278659,0.8389853733576633,0.27572068472596833,0.8806469258237662,0.37797503353312545
50,0.9098320594605278,0.8451278547898692,0.2987600819233522,0.8826190255108264,0.3788271783736939
60,0.8453169500126558,0.8502918888192347,0.3044811835604311,0.8825965887862808,0.38321699993407876
70,0.7910527104840559,0.8567025176717138,0.3122547912121103,0.8869343109563278,0.38687364394006624
80,0.7670349689090953,0.8474847776207729,0.28344984898513553,0.8760261442935041,0.38023869315804515
90,0.7003465259776396,0.848095033590036,0.2889987094008941,0.8728011377542354,0.3726810453589592
100,0.6778179017059943,0.8413007690501779,0.2872959305789747,0.8784702806883701,0.38252449348563267
10,1.2255198885412777,0.8357048826667255,0.28128282579558167,0.8816905066837599,0.37644907653748966
20,1.2103420013890547,0.8405727162434095,0.2771270896066343,0.885151017662738,0.38387125456289156
30,1.1186699315029032,0.8377162328056376,0.2468423128293451,0.8862005519176165,0.364583073507521
40,1.0237671881914139,0.83227879371884,0.24641449602414928,0.8841195012974293,0.38255895661760264
50,0.9525125964599497,0.8259037888791361,0.21794096605692057,0.8811142267070767,0.38445314961056826
60,0.8684306328787523,0.8335840319606072,0.2552330236364439,0.8819210610297946,0.38433235484107797
70,0.8072026845286874,0.8377829735916751,0.2616985353685844,0.8794739462023499,0.3727737365905017
80,0.7501744741902632,0.8123724230479824,0.23254830004815225,0.8747260810713665,0.3657300895716054
90,0.7027382657808416,0.8204305346237858,0.25789185629947214,0.8694167446342992,0.37355676398071047
100,0.6870309035567677,0.8049102430684201,0.2359378081009091,0.8673743700326814,0.36934098390479236
10,1.2409085482358932,0.8176772233713457,0.2962609008932905,0.8817287799449138,0.40544692742934013
20,1.1574338613187565,0.82088708299331,0.32795922384809395,0.8878172323506752,0.4212302275575114
30,1.0974523144609787,0.8243131483059823,0.3340547528510345,0.8904553136455816,0.41544475244999524
40,1.0306248173994177,0.8098956985700393,0.31764060536505623,0.8872188290725682,0.42439580503197516
50,0.9387401859549915,0.8177464864914142,0.3193675040780661,0.8890332355038356,0.4115341681473111
60,0.8837624271126354,0.8242663834000558,0.348881922410419,0.8912331920380294,0.41000819786193604
70,0.8124508848961662,0.8189708951997309,0.30716428496573733,0.8919627633519792,0.4087400048653818
80,0.7658126827548531,0.8120547122077545,0.3053768474088755,0.8914879006294573,0.39252968627027035
90,0.7234124089865124,0.8135943867153528,0.3231640718530129,0.8861437259509701,0.4114381895615692
100,0.6733413838288363,0.8072756042627737,0.30162373935818465,0.885470404372942,0.4219706159278412
