pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,nDCG,P1,P5,P10,P15,R1,R5,R10,R15
0.4494660637778602,1.0847852343173259,0.44682659593348767,0.7683999,0.8055081333702886,0.21791536869046826,0.8679902810012209,0.3571533490085794,0.373775065513809,0.7513710674097726,0.6133333333333333,0.6000000000000003,0.5293333333333333,0.4720000000000001,0.024865399613441475,0.12948352952872297,0.22133321026830913,0.29098895019491117
0.38313802438989886,1.1070683636632543,0.47798029632611216,0.785048,0.8347066494090712,0.2810156278275259,0.8797795345774083,0.4105587216502616,0.41663401755097135,0.8601796998469559,0.7866666666666666,0.6906666666666665,0.6013333333333334,0.5440000000000002,0.030367003300095636,0.13422109631676632,0.21088431737217334,0.2667662653070634
0.408202034560219,1.127040284486959,0.46299372923769777,0.7930838,0.8395664729396385,0.39215130185140923,0.8644314314217667,0.42663592720568594,0.44318149391171535,0.8474860612158087,0.7066666666666667,0.7199999999999999,0.6613333333333333,0.6106666666666666,0.020380356268211122,0.10076155021602928,0.1836260384697006,0.24151067060554704
0.34784814755525567,1.284017922543729,0.43172736902261344,0.9034617,0.8287800268393826,0.28042271336462254,0.8666020280491862,0.37509816016898445,0.3880246001363201,0.8275209496472401,0.7333333333333333,0.6266666666666667,0.5293333333333333,0.477333333333333,0.038118577067167696,0.14569063256267328,0.2299676150033625,0.2903682734581433
0.37930378713559365,1.156222626645599,0.41492138667127826,0.8243827,0.8181027315034612,0.23452268332400888,0.865699533733482,0.36442731027327324,0.3998929538652684,0.866989497315498,0.7733333333333333,0.6613333333333332,0.5880000000000001,0.5262222222222224,0.03886163300702351,0.13936062167328866,0.22665027063605217,0.284530582069736
0.481500210699375,1.1907269651950863,0.5390678867570977,0.8528604,0.751554809483292,0.26286203442205924,0.8546789784944742,0.3966429178243416,0.40526000570430953,0.806070423403239,0.68,0.6346666666666666,0.592,0.5448888888888889,0.026987405566961276,0.11267453664295426,0.19155546291863285,0.25127426322172813
0.4681834237865386,1.0528849704582384,0.5109081447475429,0.7601903,0.8282728512990594,0.31548657851828493,0.8748781917190847,0.39309273337084233,0.41931750167948517,0.8542765539903142,0.7466666666666667,0.6773333333333331,0.612,0.5537777777777777,0.030211772117405254,0.12388651718756918,0.21022817310788333,0.2725934370226646
0.39398364025121047,1.0303137604113046,0.4615437008479022,0.7383838,0.8413007743368918,0.2872967538061614,0.8784703456599284,0.3825664692878859,0.3878672816509625,0.7766107876205528,0.6,0.6106666666666666,0.5373333333333332,0.4968888888888889,0.024258101079704872,0.12403135026412208,0.1886007580553918,0.2578197898439077
0.38679796269799416,1.2389933467005927,0.42574137238304377,0.88106596,0.8049102272079671,0.23593714776934538,0.8673742948360893,0.3693588158471452,0.3780579690100461,0.8209629663833783,0.7066666666666667,0.6159999999999997,0.5493333333333332,0.48977777777777787,0.030561159246312523,0.12883995023142678,0.21901490267156737,0.27272493122196617
0.3962070749073606,1.1713370041913644,0.4828904469555793,0.8459274,0.8072755755207852,0.3016255215572937,0.8854704593200908,0.42196825379562475,0.437599165664109,0.8680379517987236,0.72,0.68,0.6026666666666668,0.5519999999999999,0.03940002334341178,0.15525919480447156,0.243285876173475,0.3122551996500212
avg
0.40946303697613057,1.1443390478613455,0.46546009288823553,0.815280396,0.815997825190984,0.28092357311311794,0.8705375078812733,0.3897502658432624,0.4049610054686997,0.8279505958631482,0.7066666666666667,0.6517333333333333,0.5802666666666666,0.5267555555555555,0.030401143060973457,0.12942089794280237,0.21251466246765477,0.2740832362595689
