pearson,rMSE,spearman,MAE,auc_all,aupr_all,drugAUC,drugAUPR,MAP,auc_rank,nDCG,P1,P5,P10,P15,R1,R5,R10,R15,model,fold,seconds
0.49022755967462406,0.7714580066920418,0.48439181773530365,0.5693296818197331,0.836796173248097,0.2677206868557476,0.8704507872383507,0.3788596088783676,0.37855796344753234,0.8675206109074541,0.7697810509151037,0.6666666666666666,0.6106666666666669,0.5226666666666666,0.4595555555555556,0.03157597121765497,0.13294902269744194,0.2175156484296007,0.28208142385858087,global_popularity,0,0.19
0.4812105654975758,0.8692254724376403,0.4759353169704059,0.6346116222307457,0.845792024422202,0.3155695922294104,0.8860139758366917,0.41924769041735416,0.4189503347275817,0.8835503431350874,0.8449461077434245,0.7333333333333333,0.6853333333333332,0.604,0.5368888888888891,0.029399368398960905,0.1310066441023141,0.21109041035638582,0.26630434808296966,global_popularity,1,0.21
0.47511635119739715,0.8040293465067367,0.4726905594658592,0.6109454466957485,0.8192281471464562,0.33891227700791504,0.8716042738121831,0.4516102607753022,0.4512267007256082,0.8682718195494626,0.8610333287541588,0.8,0.7146666666666665,0.6613333333333336,0.6097777777777779,0.023474266933960864,0.10025355272932997,0.18203610137905823,0.23686350069323975,global_popularity,2,0.26
0.5492333912958783,0.7880197011791571,0.538674946222446,0.5764108548333069,0.8260192358004057,0.27259955713696493,0.8740813921241304,0.39358597722720895,0.39331605716244183,0.8709962865704334,0.8183413297748319,0.6933333333333334,0.6480000000000001,0.5413333333333333,0.47644444444444434,0.03453908149912949,0.1535785361515385,0.23146352523850486,0.2857577387951427,global_popularity,3,0.2
0.4055650449166862,0.9071474469065484,0.3441414106442534,0.6652553151126186,0.8559491254882735,0.3312554148115786,0.8774608080328545,0.4199885488466091,0.4196151882084104,0.874672507353015,0.8726324679399519,0.8266666666666667,0.6853333333333333,0.6080000000000001,0.5368888888888891,0.040023034276024584,0.1433010830214113,0.2352187514776646,0.2876939617958647,global_popularity,4,0.2
0.5245306424951537,0.8217385092825165,0.5281908869242166,0.605893664146811,0.7943541877315359,0.2843756422594893,0.8546506782496979,0.40012720824177667,0.39966820432744127,0.8508506981163868,0.8079434427045495,0.72,0.6346666666666666,0.5826666666666668,0.5368888888888889,0.02633566577143825,0.10963566656147601,0.18478510466901044,0.24897454818748851,global_popularity,5,0.24
0.5302307864836183,0.7990354082058038,0.5394976750771227,0.6069589172091994,0.8204087317665864,0.2991159587077381,0.8788371989475932,0.4224994893465234,0.4219774617779792,0.8759051208680575,0.8485756277264179,0.7333333333333333,0.6773333333333332,0.6159999999999999,0.5582222222222222,0.025587575309526926,0.1230017975887593,0.21286340323802364,0.2778755735093178,global_popularity,6,0.23
0.5590007444889957,0.7666319930147861,0.5601059231817083,0.5791028631617199,0.8036409641541019,0.26849958847375255,0.8743351526450293,0.3809439915778675,0.3805417716780662,0.871349679435209,0.7860092136427278,0.6533333333333333,0.6053333333333333,0.5333333333333333,0.4924444444444445,0.027137634210850903,0.1242455961588153,0.1897791064034684,0.24903304475043261,global_popularity,7,0.24
0.513065373294194,0.8898606911844567,0.47806268455125817,0.6606137715867474,0.8337198472850458,0.2800774263642107,0.8744153173543593,0.3853516550038852,0.3850073663530777,0.8717342848837237,0.821332979008545,0.72,0.6026666666666665,0.5519999999999999,0.4880000000000001,0.031021261346562627,0.12448612129064134,0.21508775594298735,0.2656682858138466,global_popularity,8,0.2
0.5189907478294761,0.7536735528137909,0.5162674762189026,0.5769567634002581,0.8139273102397793,0.29525387816216686,0.8888805084301318,0.44554516114410525,0.4448985628698664,0.8860046176815026,0.8848426192186339,0.7866666666666666,0.6960000000000002,0.593333333333333,0.5351111111111112,0.04383682397366173,0.16199084289494314,0.24211322041734698,0.30299770783783,global_popularity,9,0.23
