model,top10_fraction_at15,top20_fraction_at15,top50_fraction_at15,top100_fraction_at15
Global popularity,0.6666666666666665,1.0,1.0,1.0
CAFNet,0.4133333333333333,0.6185777777777778,0.7911111111111111,0.9076444444444444
A3Net,0.4352888888888889,0.6472888888888889,0.8111111111111111,0.9188444444444444
HSTrans,0.3984,0.5807111111111112,0.7639111111111111,0.9023111111111112
RF,0.2633777777777777,0.3142222222222222,0.5444444444444445,0.6152888888888889
XGBoost,0.3036444444444444,0.3635555555555555,0.4276444444444444,0.4277333333333333
