group,model,AP_mean,AP_std,AP_n,nDCG@10_mean,nDCG@10_std,nDCG@10_n,P@15_mean,P@15_std,P@15_n,R@15_mean,R@15_std,R@15_n
frequent,CAFNet,0.43898658736676166,0.21539460823412973,224,0.5350179556395196,0.2942977448089683,224,0.4877976190476191,0.2810931588290508,224,0.28548958230941757,0.17169326794752535,224
frequent,CAFNet-D full,0.504623561373039,0.2222809384675981,224,0.653164587962947,0.2963687621780564,224,0.55625,0.29112537857223836,224,0.337048682744752,0.1890451373923221,224
frequent,Global popularity,0.5057260651968816,0.21965645287823887,224,0.6584608621222378,0.3005307438739291,224,0.5511904761904762,0.28862951501758083,224,0.3347150138025835,0.1860894742348966,224
frequent,debias pop0.02 no-res,0.48455047763660924,0.2157772797462839,224,0.6420210131044131,0.29264047548326755,224,0.5398809523809524,0.28368137546293,224,0.32926961726570425,0.18484862360511548,224
frequent,debias pop0.02 residual,0.4843239997599959,0.21422906551228102,224,0.6403998563224216,0.2871297547604814,224,0.5380952380952381,0.28893761532158774,224,0.3250663086439247,0.18909077751169578,224
frequent,debias pop0.05 no-res,0.4899907276901202,0.21732796730413556,224,0.6501034967436168,0.29462700131732156,224,0.5428571428571428,0.2884050109695361,224,0.32903921237074035,0.1913675483765052,224
frequent,debias weighted rb1.5,0.47165084817830666,0.21685402508205737,224,0.6159715247139322,0.3044177230115924,224,0.5330357142857143,0.2878366480115084,224,0.3209176752088215,0.18832575626181752,224
frequent,debias weighted rb2.0,0.4687523740704321,0.21632433689739708,224,0.6112256237557955,0.29862108036974255,224,0.5241071428571429,0.28560235635883574,224,0.3149277488988676,0.18262089069976198,224
frequent,matched-BPR pop0.05 no-res,0.4894752758027971,0.21590798502849853,224,0.6444155462256979,0.2938399903263632,224,0.5464285714285714,0.2853456943405096,224,0.33329205135464424,0.18838982130958032,224
frequent,matched-BPR pop0.05 residual,0.48494235787612644,0.21550506690467328,224,0.6440580059863269,0.2958472401541001,224,0.543154761904762,0.28780697154879786,224,0.3278757130570794,0.18649267045208437,224
frequent,matched-BPR pop0.10 no-res,0.4894806841549868,0.21689288852410515,224,0.6523944325430365,0.29933695364759416,224,0.549404761904762,0.28845868579435624,224,0.33227483624478726,0.19044606756587387,224
middle,CAFNet,0.12005530608248285,0.15862318957622698,191,0.13437542404331002,0.225785245728372,191,0.09040139616055846,0.15292780668184583,191,0.12328602941337673,0.21742710753898928,191
middle,CAFNet-D full,0.1111073511889639,0.127901346339771,191,0.12018613002812809,0.19929257856957658,191,0.08446771378708551,0.1443989113170215,191,0.15344512128115437,0.2575928673772043,191
middle,Global popularity,0.07682897859509913,0.10005126185243216,191,0.0832669125594968,0.1369435584208161,191,0.07155322862129145,0.12206544328432804,191,0.09657494026278662,0.18241577581702165,191
middle,debias pop0.02 no-res,0.09150953211234863,0.1272657490725341,191,0.08405366807297451,0.15981724288049098,191,0.06666666666666667,0.12100939985720602,191,0.08844597689964623,0.1769787727611876,191
middle,debias pop0.02 residual,0.08275399977766572,0.11131450371057734,191,0.07419559236523861,0.14338979060438758,191,0.06282722513089005,0.11011599329814609,191,0.09085909999336376,0.17337618410485953,191
middle,debias pop0.05 no-res,0.08887127879921043,0.12177205152786594,191,0.08365084000813047,0.15885431353182208,191,0.0712041884816754,0.12005020229088989,191,0.10215363297668131,0.20140041665785827,191
middle,debias weighted rb1.5,0.08243539977286361,0.10271827543120138,191,0.07620352700609048,0.14883228443437116,191,0.0656195462478185,0.11536394275703306,191,0.08169131650884413,0.16133888967036344,191
middle,debias weighted rb2.0,0.0859662009513652,0.11178912718860771,191,0.07781580673235514,0.1581116351523011,191,0.05968586387434555,0.10770392154999217,191,0.08967977252973053,0.18622779940146633,191
