model,folds,MAP_mean,MAP_std,nDCG_mean,nDCG_std,P15_mean,P15_std,R15_mean,R15_std,auc_all_mean,auc_all_std,aupr_all_mean,aupr_all_std,spearman_mean,spearman_std,rMSE_mean,rMSE_std,MAE_mean,MAE_std
debias pop0.02 no-res,4,0.40963722402989156,0.02664991005449948,0.8176816933810237,0.04862189746868532,0.5357037037037039,0.0592577777592587,0.26267947753197823,0.017689300803492295,0.8312622569998019,0.0046824007115110495,0.29832079915969145,0.06350039056546586,0.4924612295067992,0.015362285892873745,0.8848970605902977,0.03890859849513065,0.6447642233333334,0.024453826678157264
debias pop0.05 no-res,4,0.41566046488228636,0.026131830035595098,0.8181129505920296,0.04363689760975105,0.5410370370370371,0.05624793244180667,0.2649549311938251,0.018722201847855058,0.8273048725620639,0.0035224918583508626,0.2968224944195349,0.06547743740692485,0.5090983899929966,0.02188364352774249,0.8857952738962688,0.026348562687340024,0.6401433866666667,0.01678989612329456
debias pop0.02 residual,4,0.4102561783522032,0.028247837880015003,0.8191980772898496,0.049999716024858865,0.5354074074074074,0.05381184514250174,0.2639403321397971,0.01881031132217947,0.835853951805126,0.004714931039675453,0.3106406766860682,0.04713218172664756,0.5026114336684794,0.029739459277285742,0.9045017980698141,0.04160809556562608,0.6532959433333333,0.025980474544439854
debias weighted rb1.5,4,0.40392641402490553,0.02600484517236766,0.8129259140203743,0.03560977335953451,0.5277037037037038,0.04884487356443229,0.2570451415806563,0.02180518409562075,0.8345449465106202,0.002260272947093935,0.2682353194200284,0.0569806363515332,0.5105251801251349,0.020613196430004893,0.8544112007035761,0.02469235519877807,0.6173512633333335,0.015428330910417879
debias weighted rb2.0,4,0.4041082151421374,0.029285742711823617,0.8122930045876678,0.049808292955499205,0.5315555555555556,0.05307095956331669,0.2593650287109983,0.020456961475900627,0.8065932566873064,0.024521157970687716,0.24035668985557546,0.08364997994004654,0.5245775177181938,0.010992082326134068,0.8551196851400186,0.004217689155339658,0.6301025966666667,0.01110787486971991
matched-BPR pop0.05 no-res,4,0.4154875420050917,0.028085901389121808,0.8223115731970708,0.04214263678665646,0.5395555555555557,0.056251053945315974,0.2651825192449515,0.01900511310867492,0.8386763962324911,0.009694205362564642,0.3076663923920586,0.05584561095761968,0.5247980038878235,0.008277062353633409,0.9017327453439807,0.037235922883341196,0.6638946133333333,0.038113996253311196
matched-BPR pop0.10 no-res,4,0.4108955983263048,0.026474272879528832,0.8182987218865566,0.04165145974055382,0.5407407407407409,0.05629473682050562,0.2667675125002278,0.021467523075934705,0.823069555121422,0.019941391695918693,0.2841246305388609,0.0739336984879067,0.5018520825875361,0.0076342877286006425,0.90037743370805,0.006214167841376802,0.6544470833333333,0.006893998528954166
matched-BPR pop0.05 residual,4,0.4124539707373947,0.024311605876238422,0.8223890423427033,0.0405966763551841,0.5354074074074076,0.050462660549552465,0.2643200619691806,0.022443957830946232,0.8242866235478893,0.018497702190856117,0.29256305089064827,0.062331567014423175,0.5007350918272612,0.014091495599658308,0.9026316570926186,0.02277252918843549,0.6578013766666667,0.02344298265434146
