model,frequent_AP,frequent_nDCG@10,frequent_P@15,frequent_R@15,macro_AP,macro_nDCG@10,macro_P@15,macro_R@15,middle_AP,middle_nDCG@10,middle_P@15,middle_R@15,rare_AP,rare_nDCG@10,rare_P@15,rare_R@15,matched_AUROC,matched_AUPR,pos_gt_ctrl
CAFNet,0.4225528504365539,0.5098076342607918,0.4630173564753004,0.28973625302935735,0.3395400820003932,0.4920312242610845,0.4532444444444445,0.23050765801975995,0.12113550009861303,0.13198747507903041,0.08642366613840465,0.14472304837389677,0.07010294019575561,0.0828928042616826,0.04137022397891963,0.11936294022665347,0.6563128639672791,0.6826448193345639,0.6875135030209597
CAFNet-D minus 0*zpop,0.4879777336072625,0.6307968474831543,0.5279038718291055,0.33451744626349933,0.40496133485797087,0.6231585196670388,0.5267555555555555,0.2740832362595689,0.11050270452994496,0.11563624981893539,0.08219756999471738,0.1537022775799456,0.05848417685193596,0.059938467766833856,0.03610013175230566,0.09172061040992943,0.6623702439298614,0.7029081568699973,0.7116060069498574
CAFNet-D minus 0.02*zpop,0.48598499992968514,0.6280315615882134,0.5264797507788163,0.33423612824077203,0.4026341232214148,0.6202677664641857,0.524711111111111,0.2736577642118809,0.11052278754462741,0.11638344643225822,0.08198626518753302,0.15319628190312268,0.05851646708903119,0.059918859373266,0.03610013175230566,0.09172061040992943,0.6626314954601993,0.7026099498980632,0.7109555421558104
CAFNet-D minus 0.05*zpop,0.48127725128769044,0.6223155465271188,0.5214953271028038,0.33019340255142526,0.39731026496046645,0.6144279651126971,0.5193777777777777,0.26983566548220567,0.1104900476144013,0.11566809077404974,0.08188061278394085,0.15344794426182962,0.058485164307772466,0.05968315031469646,0.03596837944664032,0.0916846779629298,0.6626949044753571,0.7016458906638771,0.7090546896516773
CAFNet-D minus 0.1*zpop,0.4681927638303932,0.605585536617345,0.5101023587004896,0.3232813191804344,0.38258272436470453,0.593297106816915,0.5034666666666667,0.261083660964685,0.11041298971879578,0.11513336272842306,0.08135235076597992,0.15413589653523305,0.05849457747298318,0.059692508802302986,0.03596837944664032,0.09302387080669929,0.6617128606106482,0.6976063725349848,0.7050109477833566
CAFNet-D minus 0.15*zpop,0.434093042775158,0.5396594111423949,0.4705829995549622,0.29603433171026905,0.3482489009931359,0.5200844766137616,0.4540444444444444,0.2345249761420152,0.1098890742315593,0.11367387397355336,0.08103539355520337,0.15373525156311812,0.058517433254550597,0.06026933613055301,0.035836627140974964,0.09297566874365099,0.6570607674508272,0.6852169994826401,0.695015860198731
CAFNet-D minus 0.2*zpop,0.3685334160821894,0.41636538251496386,0.38513573653760574,0.23049590813525617,0.28311601609724274,0.3793717746022491,0.35280000000000006,0.1687938387325246,0.10990905027487724,0.11272912132737081,0.0809297411516112,0.1521758473293874,0.058439496057305605,0.05987190705033444,0.035836627140974964,0.09297566874365099,0.6420153537738736,0.6554199973720525,0.6724250561160373
CAFNet-D minus 0.3*zpop,0.2596031320939139,0.23770062825205382,0.22696929238985314,0.1135412025918465,0.18018048359139088,0.18476129842640232,0.1794666666666667,0.06840026158991847,0.11035187447117185,0.11281723548421374,0.08008452192287374,0.15102207908258578,0.05838927639422552,0.059441726644329305,0.03610013175230566,0.09378013407425245,0.575318038558321,0.58136011731157,0.5847715364521878
