drug_local_idx,model,group,AP,nDCG@10,P@15,R@15
7,debias pop0.02 no-res,rare,0.011614701631220317,0.0,0.0,0.0
7,debias pop0.02 no-res,middle,,,,
7,debias pop0.02 no-res,frequent,0.23089611316017508,0.4228506620510154,0.3333333333333333,0.3125
8,debias pop0.02 no-res,rare,0.07370469680416808,0.13743816645714543,0.06666666666666667,0.14285714285714285
8,debias pop0.02 no-res,middle,0.44755887893238455,0.6168295842361275,0.4,0.4
8,debias pop0.02 no-res,frequent,0.740479556398705,0.9337457765456111,0.9333333333333333,0.22580645161290322
9,debias pop0.02 no-res,rare,,,,
9,debias pop0.02 no-res,middle,,,,
9,debias pop0.02 no-res,frequent,0.4876589365102195,0.6530488081313036,0.4666666666666667,0.5
10,debias pop0.02 no-res,rare,0.005929941618015013,0.0,0.0,0.0
10,debias pop0.02 no-res,middle,0.05153345830037229,0.0,0.06666666666666667,0.1111111111111111
10,debias pop0.02 no-res,frequent,0.49842048947786294,0.7951657524814092,0.6666666666666666,0.2631578947368421
11,debias pop0.02 no-res,rare,,,,
11,debias pop0.02 no-res,middle,0.08522727272727273,0.19342640361727081,0.06666666666666667,0.5
11,debias pop0.02 no-res,frequent,0.23159203980099502,0.38364913903790027,0.13333333333333333,0.6666666666666666
12,debias pop0.02 no-res,rare,0.026469515616894326,0.0,0.0,0.0
12,debias pop0.02 no-res,middle,0.2242707877743558,0.14279514403613736,0.26666666666666666,0.07017543859649122
12,debias pop0.02 no-res,frequent,0.7438800825901396,0.9305687780632229,0.8666666666666667,0.1
13,debias pop0.02 no-res,rare,0.0074555897904066346,0.0,0.0,0.0
13,debias pop0.02 no-res,middle,0.05606060606060606,0.0,0.0,0.0
13,debias pop0.02 no-res,frequent,0.4077646624285624,0.6421867266689011,0.4,0.2857142857142857
14,debias pop0.02 no-res,rare,,,,
14,debias pop0.02 no-res,middle,0.02461804393888703,0.0,0.0,0.0
14,debias pop0.02 no-res,frequent,0.5145959754571191,0.6429424283490957,0.6666666666666666,0.38461538461538464
15,debias pop0.02 no-res,rare,0.0030508603047070416,0.0,0.0,0.0
